Course Code,Course Name,SQI
160:126,Chemistry Of Art,4.11
160:127,Impact Of Chemistry,2.92
160:128,Chemistry Of Life,3.07
160:133,Prep For Gen Chem,4.09
160:134,Intro To Chemistry,4.12
160:159,Gen Chem For Engrs,3.21
160:161,General Chemistry,3.68
160:162,General Chemistry,3.64
160:163,Honors General Chem,3.97
160:165,Extended General Chm,4.03
160:171,Intr Experimentation,4.08
160:191,Topics In Chemistry,2.13
160:209,Element Organic Chem,2.7
160:211,Elem Organic Lab,3.41
160:251,Analytical Chemistry,3.39
160:307,Organic Chemistry,3.43
160:308,Organic Chemistry,3.58
160:310,Organic Chem Lab,3.46
160:311,Organic Chem Lab,3.56
160:315,Honors Organic Chem,3.85
160:327,Phys Chemistry I,3.1
160:348,Instrumental Anal,3.11
160:361,Chemical Bonding,2.32
160:371,Inorganic Chemistry,1.93
160:387,Intro Chemistry Educ,4.45
160:411,Adv Organic Chem I,4.41
160:437,Phys Chem Bio System,4.33
160:491,Sem In Chemistry,4.12
160:493,Intern In Chemistry,4.14
160:499,Intro Tch Chem Lab,3.97
160:337,Recitation In Organic Chemistry,3.88
160:351,Inorganic Chemistry 1,3.07
160:391,Independent Study In Chemistry,4.27
160:471,Advanced Inorg Chem,3.94
160:495,Senior Research Project:  Chemistry,4.3
160:353,Inorganic Chemistry 3,4.31
160:425,Thermodynamics I,4.13
160:459,Electroanalytic Chemistry,4.34
160:342,Phys Chem:biochemsys,4.3
160:421,Atomic & Molec Strct,4.12
160:409,Org Chem High Polymr: Org Chem Polymr,4.54
160:160,Gen Chem For Engrs,3.0
160:164,Honors General Chem,4.26
160:166,Extended General Chemistry,4.25
160:309,Organic Chem Lab,2.97
160:316,Honors Organic Chemistry,4.03
160:328,Physical Chemistry II,3.99
160:329,Exper Physical Chem,4.2
160:338,Recitation In Organic Chemistry,4.14
160:352,Inorganic Chemistry 2,3.72
160:392,Indpt Studies Chem,4.45
160:415,Theor&intrp Org Spec,3.65
160:438,Intro To Comp Chem,4.37
160:451,Analyt Spectroscopy: Analytical Spectroscopy,4.28
160:461,Concepts In Nanochemistry,4.31
160:475,Organometallic Chem,4.23
160:477,Solid State Chemistry,3.62
160:482,Chemical Biology,4.2
160:492,Sem In Chemistry,3.92
160:494,Internship In Chemistry,4.36
160:341,Phys Chem:biochemsys,3.59
198:110,Intro Computers&appl,4.05
198:111,Intro Computer Science,3.71
198:112,Data Structures,3.84
198:170,Comp Apps-Business,3.8
198:205,Intr Discret Strct I,3.73
198:206,Introduction To Discrete Structures II,3.8
198:211,Computer Architectur,3.74
198:213,Software Methodology,3.79
198:214,Systems Programming,3.43
198:294,Indep Study Computer Science,4.24
