Course Code,Course Name,Prerequisites,Credits,Semester Offered,SQI
160:159,General Chemistry for Engineers,640:103 or 640:104 or 640:112 or 640:115 or 640:135 or 640:151,,,3.21
160:171,Intro to Experimentation,160:159 or 160:161 or 160:163 or 160:165 or 160:115 or 160:115,,,4.08
355:101,College Writing,,3," Spring, Fall", 3
440:101, Introduction to Data-Driver Design for Engineering Applications,,2, Fall, 5
440:102, Introduction to Data-Driver Design for Engineering Applications II,,2, Spring, 5
640:151,Calculus I,640:113 and 640:114 and 640:112 or 640:113 and 640:114 and 640:115,,,3.94
750:123,Analytical Physics IA,,,,4.21
Humanities Elective,Humanities/Social Science Elective,,,,
160:160,General Chemistry for Engineers,640:112 and 640:115 and 160:159,,,3.0
440:221,Engineering Mechanics: Statics,640:151 and 640:121 and 640:135 and 750:123 or 640:151 and 640:191 and 640:135 and 750:203 or 750:202 and 750:271 and 750:115 and 640:151 or 640:151 and 640:191 and 640:135 and 750:271 or 640:151 and 640:121 and 640:135 and 750:213 or 640:151 and 640:135 and 640:121 and 750:131,,,3.54
640:152,Calculus II,640:135 or 640:151 or 640:135 or 640:155 or 640:121 or 640:135,,,4.01
750:124,Analytical Physics IB,750:115 or 750:123,,,4.23
Humanities Elective,Humanities/Social Science Elective,,,,
640:251,Multivariable Calculus,640:152 or 640:192 or 640:136 or 640:156 or 640:122,,,3.89
750:227,Analytical Physics IIA + Lab,750:116 and 750:124 and 750:271 and 640:152,3,Fall,3.78
440:301,Introduction to Packaging Engineering,640:151,,,3.7
440:302,CAD for Packaging Engineering,640:152,,,3.99
540:343,Engineering Economics,,,,4.52
640:244,Differential Equations,640:243 or 640:251 or 640:291 or 640:235 or 640:235,,,4.08
440:222,Engineering Mechanics: Dynamics,640:152 and 640:154 and 640:192 and 440:221 or 640:152 and 640:154 and 640:192 and 440:291 or 640:152 and 640:122 and 640:136 and 440:221 or 640:152 and 640:122 and 640:136 and 440:291,,,3.67
799:301,Introduction to Supply Chain,,,,
Packaging Elective,Packaging Elective,,,,
Humanities Elective 300+,Humanities/Social Science Elective (300+),,,,
440:371,Packaging Evaluation,440:301 or 440:302 and 160:160 and 640:251 and 750:227,,,2.52
440:470,Packaging Lab I,440:301,,,2.69
Packaging Elective,Packaging Elective,,,,
Mechanics Elective,Mechanics Elective,,,,
Statistics Elective,Statistics Elective,,,,
440:418,Packaging Development Processes,440:301,,,3.77
440:471,Distribution Packaging,440:301 or 731:501,,,3.34
440:473,Packaging Lab II,125:301 or 440:301,,,3.43
Packaging Elective,Packaging Elective,,,,
355:302,Scientific & Technical Writing,,,,
440:373,Packaging Manufacturing I,440:302,,,4.02
440:419,Innovation & Design,440:371,,,4.06
Humanities Elective 300+,Humanities/Social Science Elective (300+),,,,
Technical Elective,Technical Elective,,,,
440:420,Senior Design Project,640:244 or 440:371,,,4.04
440:477,Packaging Manufacturing II,440:301 and 731:501 and 440:473,,,4.2
Packaging Elective,Packaging Elective,,,,
Science Elective,Science Elective,,,,
